subject_id,rt,is_correct,response_text,target,angle,targetFreq,outer_loop_iteration
5jspkcsw6z,3497,1,gorm,gorm,330,LF,NA
5jspkcsw6z,7418,0,gruh,grah,60,HF,NA
5jspkcsw6z,2535,1,blit,blit,150,LF,NA
5jspkcsw6z,1838,1,pim,pim,285,LF,NA
5l61gsvc1l,4072,1,clate,clate,240,HF,NA
5l61gsvc1l,3810,0,grom,gorm,105,LF,NA
5l61gsvc1l,18335,0,clate,grah,195,HF,NA
5l61gsvc1l,4784,1,noobda,noobda,150,LF,NA
5l61gsvc1l,8747,1,gled,gled,15,HF,NA
5l61gsvc1l,6851,0,blit,noom,330,LF,NA
5l61gsvc1l,1910,1,pim,pim,60,HF,NA
5l61gsvc1l,3014,1,blit,blit,285,LF,NA
5yh11gh1l4,2432,1,clate,clate,60,HF,NA
5yh11gh1l4,2082,1,gorm,gorm,15,HF,NA
5yh11gh1l4,2281,1,noom,noom,150,LF,NA
5yh11gh1l4,6219,0,glah,grah,330,LF,NA
5yh11gh1l4,2879,1,gled,gled,195,HF,NA
5yh11gh1l4,3965,1,blit,blit,105,LF,NA
5yh11gh1l4,2165,1,pim,pim,285,LF,NA
5yh11gh1l4,2632,1,noobda,noobda,240,HF,NA
6xoge0l42e,4335,1,pim,pim,195,HF,NA
6xoge0l42e,1931,1,grah,grah,105,LF,NA
6xoge0l42e,2471,1,gorm,gorm,240,HF,NA
6xoge0l42e,1519,1,blit,blit,60,HF,NA
6xoge0l42e,3256,0,noom,noobda,330,LF,NA
6xoge0l42e,2198,1,gled,gled,150,LF,NA
6xoge0l42e,2305,0,noobda,clate,285,LF,NA
6xoge0l42e,2190,1,noom,noom,15,HF,NA
7b5zaqqw0t,3377,1,pim,pim,105,LF,NA
7b5zaqqw0t,117,0,NA,noom,15,HF,NA
7b5zaqqw0t,3934,0,grah,gorm,195,HF,NA
7b5zaqqw0t,3700,1,noobda,noobda,150,LF,NA
7b5zaqqw0t,7056,0,gorm,blit,330,LF,NA
7b5zaqqw0t,4712,1,grah,grah,60,HF,NA
7b5zaqqw0t,7063,1,gled,gled,240,HF,NA
7b5zaqqw0t,3802,1,clate,clate,285,LF,NA
7cegegnp9l,3309,1,gled,gled,240,HF,NA
7cegegnp9l,2512,1,clate,clate,105,LF,NA
7cegegnp9l,3672,1,blit,blit,285,LF,NA
7cegegnp9l,3570,1,noobda,noobda,150,LF,NA
7cegegnp9l,4251,1,grah,grah,330,LF,NA
7cegegnp9l,2007,1,noom,noom,15,HF,NA
7cegegnp9l,4706,1,gorm,gorm,60,HF,NA
7cegegnp9l,2056,1,pim,pim,195,HF,NA
7m9l448o1u,19603,1,gled,gled,105,LF,NA
7m9l448o1u,9309,1,noobda,noobda,195,HF,NA
7m9l448o1u,10371,1,gorm,gorm,240,HF,NA
7m9l448o1u,4319,0,NA,clate,330,LF,NA
7m9l448o1u,8014,1,pim,pim,60,HF,NA
7m9l448o1u,8145,1,grah,grah,285,LF,NA
7m9l448o1u,5978,0,NA,blit,150,LF,NA
7m9l448o1u,5625,1,noom,noom,15,HF,NA
7sqxdgaxbu,4023,1,noobda,noobda,285,LF,NA
7sqxdgaxbu,2444,1,blit,blit,105,LF,NA
7sqxdgaxbu,2245,1,noom,noom,15,HF,NA
7sqxdgaxbu,2209,1,grah,grah,150,LF,NA
7sqxdgaxbu,2872,1,pim,pim,195,HF,NA
7sqxdgaxbu,3234,1,gled,gled,60,HF,NA
7sqxdgaxbu,4034,1,clate,clate,330,LF,NA
7sqxdgaxbu,3122,1,gorm,gorm,240,HF,NA
83a3d9g0s4,8401,1,blit,blit,60,HF,NA
83a3d9g0s4,8629,1,noom,noom,105,LF,NA
83a3d9g0s4,9671,1,clate,clate,240,HF,NA
83a3d9g0s4,12630,1,noobda,noobda,195,HF,NA
83a3d9g0s4,5160,1,grah,grah,150,LF,NA
83a3d9g0s4,13544,1,gorm,gorm,330,LF,NA
83a3d9g0s4,5169,1,gled,gled,15,HF,NA
83a3d9g0s4,4189,1,pim,pim,285,LF,NA
8555m8vlxh,2603,1,noom,noom,195,HF,NA
8555m8vlxh,4163,1,gled,gled,60,HF,NA
8555m8vlxh,4576,1,grah,grah,330,LF,NA
8555m8vlxh,1776,1,blit,blit,240,HF,NA
8555m8vlxh,2263,1,noobda,noobda,105,LF,NA
8555m8vlxh,1655,1,pim,pim,150,LF,NA
8555m8vlxh,2018,1,gorm,gorm,285,LF,NA
8555m8vlxh,2118,1,clate,clate,15,HF,NA
86qnle61oj,8632,1,grah,grah,285,LF,NA
86qnle61oj,2390,1,noom,noom,240,HF,NA
86qnle61oj,2513,1,gorm,gorm,15,HF,NA
86qnle61oj,2146,1,pim,pim,150,LF,NA
86qnle61oj,2934,1,noobda,noobda,105,LF,NA
86qnle61oj,2877,1,clate,clate,195,HF,NA
86qnle61oj,2842,1,gled,gled,60,HF,NA
86qnle61oj,3992,1,blit,blit,330,LF,NA
8oyvp1rl41,2332,1,gled,gled,240,HF,NA
8oyvp1rl41,2681,1,noom,noom,60,HF,NA
8oyvp1rl41,3703,1,clate,clate,15,HF,NA
8oyvp1rl41,1979,1,blit,blit,105,LF,NA
8oyvp1rl41,4286,1,pim,pim,285,LF,NA
8oyvp1rl41,3341,1,noobda,noobda,150,LF,NA
8oyvp1rl41,2961,1,gorm,gorm,330,LF,NA
8oyvp1rl41,3894,1,grah,grah,195,HF,NA
8s0qoles64,4563,1,gled,gled,15,HF,NA
8s0qoles64,3299,1,pim,pim,330,LF,NA
8s0qoles64,6477,0,gorn,gorm,60,HF,NA
8s0qoles64,2734,1,grah,grah,105,LF,NA
8s0qoles64,4090,1,noobda,noobda,240,HF,NA
8s0qoles64,2792,1,clate,clate,195,HF,NA
8s0qoles64,3237,1,noom,noom,285,LF,NA
8s0qoles64,5879,1,blit,blit,150,LF,NA
8z25ff05po,13004,1,grah,grah,285,LF,NA
