frequency_ratio,T,p_lf,p_hf,theta
1:4,3.160535117056856,0.8870164,0.11298357,0.5
1:4,3.1772575250836117,0.8872827,0.11271741,0.5
1:4,3.1939799331103678,0.8875404,0.112459704,0.5
1:4,3.2107023411371234,0.8877897,0.11221019,0.5
1:4,3.2274247491638794,0.8880311,0.111968614,0.5
1:4,3.2441471571906355,0.88826513,0.111734726,0.5
1:4,3.260869565217391,0.8884919,0.11150829,0.5
1:4,3.277591973244147,0.88871086,0.111289054,0.5
1:4,3.294314381270903,0.88892305,0.11107681,0.5
1:4,3.311036789297659,0.8891285,0.11087133,0.5
1:4,3.3277591973244145,0.88932765,0.11067241,0.5
1:4,3.3444816053511706,0.88952005,0.11047983,0.5
1:4,3.361204013377926,0.8897065,0.11029341,0.5
1:4,3.3779264214046822,0.889887,0.11011294,0.5
1:4,3.394648829431438,0.8900619,0.10993824,0.5
1:4,3.411371237458194,0.89023095,0.10976912,0.5
1:4,3.4280936454849495,0.89039475,0.10960542,0.5
1:4,3.4448160535117056,0.890553,0.10944695,0.5
1:4,3.4615384615384612,0.8907065,0.10929355,0.5
1:4,3.4782608695652173,0.89085484,0.10914507,0.5
1:4,3.494983277591973,0.8909988,0.109001346,0.5
1:4,3.511705685618729,0.89113754,0.10886222,0.5
1:4,3.5284280936454846,0.89127237,0.10872756,0.5
1:4,3.5451505016722407,0.8914028,0.10859721,0.5
1:4,3.5618729096989963,0.89152884,0.10847104,0.5
1:4,3.5785953177257523,0.89165086,0.10834893,0.5
1:4,3.5953177257525084,0.89176935,0.10823073,0.5
1:4,3.612040133779264,0.89188343,0.10811633,0.5
1:4,3.62876254180602,0.89199436,0.1080056,0.5
1:4,3.6454849498327757,0.89210165,0.10789843,0.5
1:4,3.6622073578595318,0.89220536,0.107794695,0.5
1:4,3.6789297658862874,0.8923055,0.1076943,0.5
1:4,3.6956521739130435,0.8924028,0.10759713,0.5
1:4,3.712374581939799,0.89249694,0.10750308,0.5
1:4,3.729096989966555,0.8925879,0.107412055,0.5
1:4,3.7458193979933108,0.89267606,0.10732397,0.5
1:4,3.762541806020067,0.8927614,0.1072387,0.5
1:4,3.7792642140468224,0.89284396,0.10715619,0.5
1:4,3.7959866220735785,0.8929237,0.107076325,0.5
1:4,3.812709030100334,0.8930007,0.10699903,0.5
1:4,3.82943143812709,0.89307564,0.10692423,0.5
1:4,3.846153846153846,0.89314824,0.10685184,0.5
1:4,3.862876254180602,0.8932184,0.10678177,0.5
1:4,3.8795986622073575,0.89328617,0.106713966,0.5
1:4,3.8963210702341136,0.8933515,0.10664835,0.5
1:4,3.913043478260869,0.89341486,0.10658484,0.5
1:4,3.9297658862876252,0.8934766,0.10652338,0.5
1:4,3.9464882943143813,0.89353603,0.1064639,0.5
1:4,3.963210702341137,0.8935937,0.10640634,0.5
1:4,3.979933110367893,0.8936491,0.10635063,0.5
1:4,3.9966555183946486,0.89370286,0.10629672,0.5
1:4,4.013377926421405,0.89375585,0.10624455,0.5
1:4,4.030100334448161,0.89380556,0.10619406,0.5
1:4,4.046822742474916,0.8938545,0.106145196,0.5
1:4,4.063545150501672,0.8939019,0.106097914,0.5
1:4,4.080267558528428,0.89394766,0.10605215,0.5
1:4,4.096989966555184,0.89399177,0.10600787,0.5
1:4,4.113712374581939,0.8940351,0.10596502,0.5
1:4,4.130434782608695,0.89407605,0.10592355,0.5
1:4,4.147157190635451,0.894117,0.10588341,0.5
1:4,4.1638795986622075,0.89415556,0.10584458,0.5
1:4,4.180602006688963,0.8941933,0.10580699,0.5
1:4,4.197324414715719,0.8942294,0.105770625,0.5
1:4,4.214046822742475,0.89426476,0.10573543,0.5
1:4,4.230769230769231,0.89429843,0.10570137,0.5
1:4,4.247491638795986,0.8943314,0.10566841,0.5
1:4,4.264214046822742,0.8943635,0.105636515,0.5
1:4,4.280936454849498,0.89439404,0.105605654,0.5
1:4,4.297658862876254,0.8944245,0.105575785,0.5
1:4,4.31438127090301,0.89445347,0.105546884,0.5
1:4,4.331103678929765,0.89448154,0.105518915,0.5
1:4,4.3478260869565215,0.89450806,0.10549185,0.5
1:4,4.364548494983278,0.8945345,0.10546565,0.5
1:4,4.381270903010034,0.89455944,0.10544031,0.5
1:4,4.397993311036789,0.89458436,0.105415784,0.5
1:4,4.414715719063545,0.89460766,0.105392046,0.5
1:4,4.431438127090301,0.89463097,0.10536908,0.5
1:4,4.448160535117057,0.89465344,0.10534686,0.5
1:4,4.464882943143812,0.8946743,0.105325356,0.5
1:4,4.481605351170568,0.8946952,0.10530454,0.5
1:4,4.498327759197324,0.8947153,0.1052844,0.5
1:4,4.51505016722408,0.8947354,0.10526492,0.5
1:4,4.5317725752508355,0.8947539,0.10524606,0.5
1:4,4.548494983277592,0.89477235,0.10522781,0.5
1:4,4.565217391304348,0.89479,0.105210155,0.5
1:4,4.581939799331104,0.89480686,0.10519306,0.5
1:4,4.598662207357859,0.8948238,0.10517653,0.5
1:4,4.615384615384615,0.89483905,0.10516053,0.5
1:4,4.632107023411371,0.89485514,0.105145045,0.5
1:4,4.648829431438127,0.8948695,0.10513007,0.5
1:4,4.665551839464883,0.894884,0.10511557,0.5
1:4,4.682274247491638,0.8948985,0.10510154,0.5
1:4,4.698996655518394,0.8949121,0.105087966,0.5
1:4,4.7157190635451505,0.894925,0.10507483,0.5
1:4,4.7324414715719065,0.8949379,0.10506212,0.5
1:4,4.749163879598662,0.8949499,0.10504982,0.5
1:4,4.765886287625418,0.89496195,0.10503791,0.5
1:4,4.782608695652174,0.8949732,0.105026394,0.5
1:4,4.79933110367893,0.8949844,0.10501525,0.5
1:4,4.816053511705685,0.8949957,0.10500447,0.5
1:4,4.832775919732441,0.8950062,0.10499403,0.5
1:4,4.849498327759197,0.8950158,0.10498393,0.5
1:4,4.866220735785953,0.89502627,0.10497416,0.5
1:4,4.882943143812708,0.8950351,0.1049647,0.5
1:4,4.8996655518394645,0.89504474,0.104955554,0.5
1:4,4.916387959866221,0.89505357,0.1049467,0.5
1:4,4.933110367892977,0.8950616,0.104938135,0.5
1:4,4.949832775919732,0.8950705,0.10492985,0.5
1:4,4.966555183946488,0.8950785,0.104921825,0.5
1:4,4.983277591973244,0.89508575,0.10491406,0.5
1:4,5.0,0.8950938,0.10490655,0.5
