frequency_ratio,payoff_structure,T,p_lf,p_hf,theta
1:4,linear,0.6655518394648829,0.30014935,0.6998506,0.25
1:4,linear,0.6816053511705685,0.30122983,0.6987702,0.25
1:4,linear,0.6976588628762541,0.30230224,0.6976979,0.25
1:4,linear,0.7137123745819398,0.30336657,0.6966335,0.25
1:4,linear,0.7297658862876253,0.30442274,0.6955772,0.25
1:4,linear,0.745819397993311,0.30547085,0.6945291,0.25
1:4,linear,0.7618729096989967,0.3065108,0.6934892,0.25
1:4,linear,0.7779264214046822,0.30754262,0.6924574,0.25
1:4,linear,0.7939799331103679,0.30856627,0.6914338,0.25
1:4,linear,0.8100334448160535,0.3095817,0.6904183,0.25
1:4,linear,0.826086956521739,0.31058893,0.68941104,0.25
1:4,linear,0.8421404682274247,0.31158802,0.68841195,0.25
1:4,linear,0.8581939799331104,0.31257886,0.68742114,0.25
1:4,linear,0.8742474916387959,0.3135615,0.68643844,0.25
1:4,linear,0.8903010033444816,0.31453592,0.685464,0.25
1:4,linear,0.9063545150501671,0.3155022,0.68449783,0.25
1:4,linear,0.9224080267558528,0.31646022,0.6835398,0.25
1:4,linear,0.9384615384615385,0.31740996,0.68259,0.25
1:4,linear,0.9545150501672239,0.31835163,0.68164843,0.25
1:4,linear,0.9705685618729096,0.31928498,0.6807149,0.25
1:4,linear,0.9866220735785953,0.32021025,0.6797897,0.25
1:4,linear,1.0026755852842808,0.32112727,0.67887264,0.25
1:4,linear,1.0187290969899665,0.3220362,0.67796385,0.25
1:4,linear,1.0347826086956522,0.32293692,0.6770631,0.25
1:4,linear,1.0508361204013377,0.32382947,0.6761706,0.25
1:4,linear,1.0668896321070234,0.32471395,0.6752861,0.25
1:4,linear,1.0829431438127088,0.3255903,0.6744098,0.25
1:4,linear,1.0989966555183945,0.3264585,0.6735415,0.25
1:4,linear,1.1150501672240802,0.32731873,0.6726813,0.25
1:4,linear,1.1311036789297657,0.32817078,0.6718291,0.25
1:4,linear,1.1471571906354514,0.32901493,0.67098504,0.25
1:4,linear,1.163210702341137,0.32985103,0.67014885,0.25
1:4,linear,1.1792642140468226,0.33067918,0.6693208,0.25
1:4,linear,1.1953177257525083,0.3314994,0.6685006,0.25
1:4,linear,1.2113712374581938,0.33231163,0.66768837,0.25
1:4,linear,1.2274247491638794,0.333116,0.66688395,0.25
1:4,linear,1.2434782608695651,0.33391252,0.6660875,0.25
1:4,linear,1.2595317725752506,0.33470115,0.6652988,0.25
1:4,linear,1.2755852842809363,0.335482,0.66451794,0.25
1:4,linear,1.291638795986622,0.33625516,0.663745,0.25
1:4,linear,1.3076923076923075,0.3370205,0.6629796,0.25
1:4,linear,1.3237458193979932,0.3377781,0.6622219,0.25
1:4,linear,1.3397993311036787,0.33852816,0.6614721,0.25
1:4,linear,1.3558528428093644,0.33927047,0.6607296,0.25
1:4,linear,1.37190635451505,0.34000525,0.65999484,0.25
1:4,linear,1.3879598662207355,0.3407324,0.65926754,0.25
1:4,linear,1.4040133779264212,0.3414521,0.6585479,0.25
1:4,linear,1.420066889632107,0.3421643,0.6578356,0.25
1:4,linear,1.4361204013377924,0.34286913,0.6571309,0.25
1:4,linear,1.452173913043478,0.34356657,0.6564335,0.25
1:4,linear,1.4682274247491638,0.34425664,0.6557435,0.25
1:4,linear,1.4842809364548493,0.34493938,0.6550607,0.25
1:4,linear,1.500334448160535,0.34561482,0.65438515,0.25
1:4,linear,1.5163879598662207,0.3462831,0.6537169,0.25
1:4,linear,1.5324414715719061,0.3469442,0.6530559,0.25
1:4,linear,1.5484949832775918,0.3475981,0.6524018,0.25
